date,value,MA
2018-08-02,89,101.8
2018-08-03,78,108.4
2018-08-04,35,98.0
2018-08-05,34,81.0
2018-08-06,84,64.0
2018-08-07,117,69.6
2018-08-08,86,71.2
2018-08-09,74,79.0
2018-08-10,85,89.2
2018-08-11,33,79.0
2018-08-12,32,62.0
2018-08-13,94,63.6
2018-08-14,113,71.4
2018-08-15,119,78.2
2018-08-16,86,88.8
2018-08-17,78,98.0
2018-08-18,38,86.8
2018-08-19,36,71.4
2018-08-20,94,66.4
2018-08-21,123,73.8
2018-08-22,88,75.8
2018-08-23,62,80.6
2018-08-24,71,87.6
2018-08-25,42,77.2
2018-08-26,36,59.8
2018-08-27,84,59.0
2018-08-28,114,69.4
2018-08-29,91,73.4
2018-08-30,79,80.8
2018-08-31,87,91.0
2018-09-01,93,92.8
2018-09-02,40,78.0
2018-09-03,80,75.8
2018-09-04,145,89.0
2018-09-05,117,95.0
2018-09-06,91,94.6
2018-09-07,99,106.4
2018-09-08,50,100.4
2018-09-09,37,78.8
2018-09-10,122,79.8
2018-09-11,105,82.6
2018-09-12,124,87.6
2018-09-13,89,95.4
2018-09-14,81,104.2
2018-09-15,48,89.4
2018-09-16,44,77.2
2018-09-17,133,79.0
2018-09-18,152,91.6
2018-09-19,102,95.8
2018-09-20,84,103.0
2018-09-21,70,108.2
2018-09-22,52,92.0
2018-09-23,46,70.8
2018-09-24,102,70.8
2018-09-25,148,83.6
2018-09-26,86,86.8
2018-09-27,88,94.0
2018-09-28,90,102.8
2018-09-29,48,92.0
2018-09-30,67,75.8
2018-10-01,190,96.6
2018-10-02,148,108.6
2018-10-03,98,110.2
2018-10-04,106,121.8
2018-10-05,75,123.4
2018-10-06,33,92.0
2018-10-07,36,69.6
2018-10-08,106,71.2
2018-10-09,150,80.0
2018-10-10,113,87.6
2018-10-11,82,97.4
2018-10-12,79,106.0
2018-10-13,51,95.0
2018-10-14,50,75.0
2018-10-15,161,84.6
2018-10-16,173,102.8
2018-10-17,102,107.4
2018-10-18,95,116.2
2018-10-19,114,129.0
2018-10-20,54,107.6
2018-10-21,50,83.0
2018-10-22,125,87.6
2018-10-23,169,102.4
2018-10-24,108,101.2
2018-10-25,108,112.0
2018-10-26,94,120.8
2018-10-27,44,104.6
2018-10-28,45,79.8
2018-10-29,118,81.8
2018-10-30,156,91.4
2018-10-31,119,96.4
2018-11-01,142,116.0
2018-11-02,105,128.0
2018-11-03,33,111.0
2018-11-04,33,86.4
2018-11-05,112,85.0
2018-11-06,154,87.4
2018-11-07,119,90.2
2018-11-08,117,107.0
2018-11-09,88,118.0
2018-11-10,50,105.6
2018-11-11,47,84.2
2018-11-12,132,86.8
2018-11-13,180,99.4
2018-11-14,158,113.4
2018-11-15,144,132.2
2018-11-16,100,142.8
2018-11-17,38,124.0
2018-11-18,44,96.8
2018-11-19,122,89.6
2018-11-20,176,96.0
2018-11-21,143,104.6
2018-11-22,93,115.6
2018-11-23,76,122.0
2018-11-24,42,106.0
2018-11-25,46,80.0
2018-11-26,160,83.4
2018-11-27,140,92.8
2018-11-28,104,98.4
2018-11-29,115,113.0
2018-11-30,111,126.0
2018-12-01,98,113.6
2018-12-02,49,95.4
2018-12-03,124,99.4
2018-12-04,132,102.8
2018-12-05,130,106.6
2018-12-06,101,107.2
2018-12-07,88,115.0
2018-12-08,62,102.6
2018-12-09,34,83.0
2018-12-10,104,77.8
2018-12-11,106,78.8
2018-12-12,101,81.4
2018-12-13,82,85.4
2018-12-14,62,91.0
2018-12-15,37,77.6
2018-12-16,30,62.4
2018-12-17,63,54.8
2018-12-18,86,55.6
2018-12-19,58,54.8
2018-12-20,84,64.2
2018-12-21,68,71.8
2018-12-22,30,65.2
2018-12-23,17,51.4
2018-12-24,41,48.0
2018-12-25,23,35.8
2018-12-26,41,30.4
2018-12-27,62,36.8
2018-12-28,44,42.2
2018-12-29,19,37.8
2018-12-30,26,38.4
2018-12-31,48,39.8
2019-01-01,109,49.2
2019-01-02,114,63.2
2019-01-03,93,78.0
2019-01-04,88,90.4
2019-01-05,39,88.6
2019-01-06,39,74.6
2019-01-07,118,75.4
2019-01-08,109,78.6
2019-01-09,99,80.8
2019-01-10,117,96.4
2019-01-11,105,109.6
2019-01-12,54,96.8
2019-01-13,52,85.4
2019-01-14,126,90.8
2019-01-15,179,103.2
2019-01-16,122,106.6
2019-01-17,84,112.6
2019-01-18,110,124.2
2019-01-19,45,108.0
2019-01-20,41,80.4
2019-01-21,71,70.2
2019-01-22,134,80.2
2019-01-23,94,77.0
2019-01-24,108,89.6
2019-01-25,93,100.0
2019-01-26,61,98.0
2019-01-27,41,79.4
2019-01-28,143,89.2
2019-01-29,171,101.8
2019-01-30,157,114.6
2019-01-31,141,130.6
2019-02-01,196,161.6
2019-02-02,55,144.0
2019-02-03,46,119.0
2019-02-04,148,117.2
2019-02-05,224,133.8
2019-02-06,105,115.6
2019-02-07,92,123.0
2019-02-08,93,132.4
2019-02-09,63,115.4
2019-02-10,43,79.2
2019-02-11,135,85.2
2019-02-12,178,102.4
2019-02-13,100,103.8
2019-02-14,18,94.8
